	control_early_01	control_early_02	control_early_03	control_embryo_01	control_embryo_02	control_embryo_03	control_late_01	control_late_02	control_late_03	treatment_early_01	treatment_early_02	treatment_early_03	treatment_embryo_01	treatment_embryo_02	treatment_embryo_03	treatment_late_01	treatment_late_02	treatment_late_03
JGI_V11_313765	11.141733	23.56893	13.239151	4.661048	6.395879	33.982517	15.081498	20.759002	18.524273	21.387468	15.581312	29.480368	12.124004	24.450629	14.640323	4.722992	22.037234	7.501198
JGI_V11_313767	0.0	5.23754	2.206525	9.322097	2.13196	24.920513	7.540749	24.910803	2.315534	7.129156	22.259017	9.070883	19.398406	14.670377	25.097697	23.61496	13.773271	25.003994
JGI_V11_313768	84.67717	204.26406	68.402278	93.22097	198.27224	224.284613	163.382899	145.313016	219.975743	263.778774	164.716722	158.740444	177.010454	528.133588	443.39265	101.544327	137.73271	87.513979
JGI_V11_313769	13.37008	10.47508	4.41305	2.330524	25.583515	22.655011	5.027166	12.455401	9.262137	30.89301	11.129508	22.677206	16.973605	53.791384	39.73802	9.445984	11.018617	2.500399
JGI_V11_313770	205.007886	552.560469	253.750387	53.602057	138.577372	165.381584	211.140977	186.83102	180.611662	349.328647	244.849182	285.732799	164.88645	339.863744	343.001861	144.051254	258.937495	115.018372
JGI_V11_313782	42.338585	68.08802	46.337027	9.322097	49.03507	56.637529	22.622248	68.504708	64.834956	45.151322	40.06623	47.622133	21.823207	110.027831	77.384566	25.976456	63.357047	30.004793
JGI_V11_313796	13.37008	23.56893	6.619575	2.330524	6.395879	13.593007	0.0	6.227701	6.946602	7.129156	13.35541	38.551251	36.372011	31.785818	23.006222	4.722992	8.263963	2.500399
JGI_V11_313798	0.0	0.0	0.0	0.0	2.13196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313799	149.299222	303.777319	112.53278	32.627339	78.882504	151.788577	103.056905	116.250413	87.990297	228.132994	151.361313	172.346768	84.868026	234.726039	215.421901	54.314407	184.561832	42.50679
JGI_V11_313800	4.456693	20.95016	13.239151	2.330524	10.659798	11.327506	17.595081	26.986703	4.631068	23.763854	13.35541	22.677206	21.823207	31.785818	27.189172	2.361496	11.018617	7.501198
JGI_V11_313803	0.0	10.47508	4.41305	2.330524	10.659798	6.796503	2.513583	12.455401	6.946602	14.258312	4.451803	0.0	7.274402	4.890126	12.548849	11.80748	2.754654	7.501198
JGI_V11_313807	548.173261	1094.645857	542.805175	104.873591	343.245491	579.968293	472.553615	531.430458	551.097123	803.218249	698.93312	757.418689	356.445709	562.364468	675.546348	238.511093	504.101719	255.040738
JGI_V11_313808	106.960636	193.78898	63.989228	53.602057	181.216564	176.709089	138.247068	122.478113	189.873799	166.346975	97.939673	138.330958	135.788841	293.407549	309.538265	94.459839	132.223402	67.510784
JGI_V11_313810	64.622051	102.13203	52.956602	65.254679	166.292847	199.364101	57.81241	139.085315	111.145638	90.302643	71.228853	77.102501	138.213642	356.979184	267.70877	85.013855	82.639626	90.014378
JGI_V11_313811	534.803182	1264.865907	423.65282	428.81646	1072.375664	1427.265722	781.724331	855.270894	845.169958	1074.126179	803.550498	922.962294	1112.983539	2156.545482	1495.404455	703.7258	848.433495	412.565899
